Stichwort,Titel,Beschreibung,Sprachausgabe
spreita,spreita,"(gschpreitat)'ausbreiten'. Mhd. spreiten. Auch uusspreita.",
springa,springa,(gschprunga)'rennen'.,
sprossa,Sprossa,"f. Pl. gl.'Tritt einer Leitara'.",
sprutz,Sprutz,"m. Pl. Sprütz, Dim. Sprutzi '(einmaliger) Spritzer'.",
spruetzchanta,Sprützchanta,"f.'«Spritzkanne»; Giesskanne'. Vgl. auch Giess-Chanta.",
spuder,Spuder,"m.'Speichel'. Auch Geifer und Speuz, vgl. auch Chuder.",
spudera,spudera,"(gspudarat)'geifern, spucken'.",
spunta,Spunta,"f.'Kork- oder Holzzapfen'.",
spuntis,Spuntis,"koll.'Respekt, Angst, Furcht'.",
spuusa,Spuusa,"f.'Braut'. Rätoromanisch spusa.",
spuusawaga,Spuusawaga,"m.eigentlich 'Brautwagen', übertragen auch 'Aussteuer'.",
spueueslig,Spüüslig,m.'Bräutigam'.,
staa,staa,"(gschtanda)'stehen'. Asa stendaga 'stehend'.",
staafl,Staafl,"m. Pl. Stäfel'Lager-, Melkplatz auf der Alp', 'Alphütte mit Alpstall'. Rätoromanisch stavel.",
staeaerba,stäärba,"(gschtoorba)'sterben'. Zum Stäärba schlächt 'speiübel'.",
staarchla,Staarchla,"f. Pl. gl.'Zaunpfosten', von jeder Grösse.",
staechha,stächha,(gschtochha)'stechen'.,
staechhbueuetel,Stächhbüütel,"m.'«Stechbeutel»; einseitig geschliffenes Stemmeisen'.",
staeg,Stäg,"m. das Maiensäss hinter dem Kulm,n. 'ein Besitz im Steg'.",
staega,Stäga,"f. Pl. gl. Dim. Stägi'Treppe, Stiege','beim Schneiden des Kopfhaares stehengelassene Rippen'.",
staegga,Stägga,"m. Pl. gl. Dim. Stäggi'länglicher Holzstab, «Stecken»'.",
staela,stäla,(gschtola)'stehlen'.,
staliera,staliera,"(stalierd)[schtàlíera]'ausrufen, laut schimpfen'.",
stall,Stall,"m. Pl. Ställ, Dim. Ställali, Stalli,'Stall'.",
stalla,stalla,"(gschtallat)'das Vieh in den Stall bringen'.",
stallguella,Stallgülla,"f.'«Stallgülle»; Stalljauche'. Im Gegensatz zur Aabtrittgülla.",
stallholtscha,Stallholtscha,"Pl.'Holzschuhe, die nur im Stall getragen werden'. Zu Holtscha.",
stalltuer,Stalltür,f.'Stalltüre'.,
stand,Stand,"m.'Stehvermögen','Abteilung für das einzelne Stück Vieh im Stall' (vgl. auch Leimstand).",
standa,Standa,"f. Pl. gl., Dim. Ständali'grosser Bottich, Zuber, rund oder oval';aus Holz gebunden, von verschiedener Höhe, gewöhnlich mit zwei Ösen;dient zu verschiedenen Zwecken, z. B. zum Einweichen und Waschen der Wäsche, zum Einmachen von Sauerkraut (Chruudstanda), zumEinpökeln von Fleisch u. dgl.",
standadigg,standadigg,"'sehr dick, dick wie eine Standa'. Schi ischt scho standadiggi sagt man von einer Frau in den letzten Wochen der Schwangerschaft.",
standholz,Standholz,"n.'aufrecht stehender Pfosten, auf dem die Wand zwischen den Viehständen im Stall ruht'.",
stanga,Stanga,"f. Pl. gl., Dim. Stangi'«Stange»','abgeworfener Teil des Hirschgeweihs'.",
stangaroosa,Stangaroosa,"f.'«Stangenrose»; Gartenmalve'.",
stapfa,Stapfa,"f. Pl. gl. Dim. Stapfi 'Zaunverschluss bei Fahrwegen, besonders sind die abnehmbaren Querlatten damit gemeint'.",
staeraga,Stäraga,"m.'unbeweglicher, starrer Kerl','Alkoholrausch'.",
staerig,stärig,"'starr, unbeweglich'.",
staetzga,Stätzga,"f. Pl. gl.'Fusseisen; eiserner Aufsatz für die Schuhsohle'. Vgl. auch Trappali.",
staetzgaschua,Stätzgaschua,"m.'Schuh mit Stätzga'.",
staeupa,stäupa,"(gschtäupt)'stieben', übertragen auch 'stark rauchen'.",
stei,Stei,"m. Pl. Steina, Dim. Steinli'Stein'. Stei und Bei schwööra '«Stein und Bein schwören»'.",
steibaera,Steibära,"f. Dim. Steibäri'Bahre zum Steine Tragen'. Zu ahd. beran 'tragen'.",
steibogghert,steibogghert,"'«steinbockhart», sehr hart'.",
steiger,Steiger,"m.ein Kartenspiel.",
stemma,stemma,"(gschtemmd)'mit dem Stemmiisa arbeiten'.",
stemmiisa,Stemmiisa,n.'«Stemmeisen».,
stich,Stich,"m.'«Stich»','steile, absturzgefährdete Alpweide; Steilhang'. Kä Stich see, hööra '«keinen Stich (nichts) sehen, hören»'.",
stichha,stichha,"(gschtichhat)'auf einem Stich Vieh hüten'.",
stichher,Stichher,"m.'wer das Vieh auf einem Stich hütet'. Vgl. auch stichha.",
stichhl,Stichhl,"m.'Bohnenstange'. Auch Boonastichhl.",
stichhla,stichhla,"'«sticheln», anpöbeln, reizen'.",
stichhl-chifl,Stichhl-Chifl,"m.'Stangenbohne(n)', im Gegensatz zum Gruuper.",
stieraglari,Stieraglari,"n.'Spiegelei'. Zu Glara.","Dein Browser unterstützt die Sprachausgabe nicht."
stierastall,Stierastall,"m.'Stall für den Gemeindestier'.",
stierig,stierig,"'brünstig', von der Kuh.",
stiflchnaecht,Stiflchnächt,"m.'«Stiefelknecht»'. Zu Chnächt.",
stigera,stigera,(gschtigarat)'klettern'.,
stiigiisa,Stiigiisa,"n.'«Steigeisen»'. Vgl. auch Trappali.",
stiizga,stiizga,(gschtiizgat)'spritzen'.,
stilla,stilla,"'still, ruhig'. Bis stilla 'sei still', stilla sii 'still sein'.",
stofara,stofara,"(gschtofarat)'(planlos) herumschlendern'.",
stofari,Stofari,"m.'ein Mensch, der nur mehr langsam gehen kann' bzw. 'ein Mensch, der planlos herumschlendert'.",
stoggraeaeba,Stoggrääba,"f.'Futterrübe', auch Speiserübe, vor allem zu Geräuchertem. Zu Rääba.",
stogguur,Stogguur,"f.'«Stockuhr»; Uhr, die in der Regel nicht geht'.",
stoggwinda,Stoggwinda,"f.'Spannvorrichtung für den Heuwagen'.",
stoeoera,stööra,"(gschtöörd)'«stören»'. Ds Chrischtchindli stööra '«das Christkind stören», Weihnachtsgeschenke einkaufen'.",
stoorna,stoorna,"(gschtoornat)'dick werden' vom Öl, wenn es zu lange stehen bleibt.",
stoorza,Stoorza,"f. Pl. gl.'Strunk einer Pflanze', z. B. vom Mais, besonders jedoch der holzige Stengel mit und ohne Wurzel beim Kraut- und Kohlkopf.",
stoos,Stoos,"m. Pl. Stöös'Kuhrecht auf einer Alp'. Vgl. auch Weid.",
stooss-chara,Stooss-Chara,"m.'einrädiger Schubkarren'. Zu nhd. stossen.",
stora,stora,"(gschtorat)'trödeln'. Auch sämpara.",
stotza_1,Stotza,"m. Pl. gl.'«Stotzen»; Viertel eines geschlachteten Tieres'.",
stotzig,stotzig,"'steil'. Auch geech.",
strabutz,Strabutz,"m. koll.'Strapaze, Mühsal bei einer Arbeit'.",
stranga,Stranga,"f. Pl. gl.'auf einem Haspel gewundene Garnlage'. Die Anzahl der Lagen war meist genau bestimmt. Vgl. auch Chlunga.",
stratza,Stratza,"f. Pl. gl.'Schuldenbuch'.",
strau,Strau,n.'Stroh'.,
streefla,streefla,"(gschtreeflat)'Gras zertreten'. As Goofa si wr im Gras ummagschtreeflat, aso ummagschtrefla und ummabeischara 'als Kinder sind wir immer im Gras herumgegangen (und haben es zertreten). Vgl. auch beischara und verbeischara.",
streel,Streel,"m. Pl. gl.'Kamm'. Mhd. strael.",
streela,streela,(gschtreeld)'kämmen'.,
streui,Streui,"f. koll.'Einstreu im Stall', meist Stroh, früher auch Laub.",
streuna,streuna,"(gschtreunat)'Laub sammeln'. Laub wurde als Inhalt des Laubsagg oder als Streui verwendet. Nebenform von streuen.",
strich,Strich,"m. Pl. gl.'Zitze','Ackerstreifen, Rasenband'.Uf an Strich 'irgendwohin'; gangat ätta uf an Strich 'geht irgendwohin', zu Personen, die nicht wissen, wohin sie gehen sollen. Mhd. strich.",
strichmaes,Strichmäs,"n.'«Strichmess»; Berechnung'. De heid r Strichmäs ka 'dann hat es gerade noch geklappt'. Zu Mäs.",
strigg,Strigg,"m. Pl. gl.'Strick, Seil'.",
strigl,Strigl,"m.'Kamm zum Bürsten von Tieren'. Mhd. strigel.",
strigla,strigla,"(gschtriglat)'bürsten' von Tieren mit einem Strigel.",
striichla,striichla,"(gschtriichlat)'«streicheln»', auch 'kosen'.",
striima,Striima,"m. Pl. gl.'«Striemen»; längliches Mal bei Mensch und Tier, durch Schläge verursacht'.",
strodlig,strodlig,"'siedend'. Strodlig heiss 'siedend heiss'. Zu Strudel.",
strudla,strudla,"(gschtrudlat)'schnell und deshalb auch ungenau arbeiten'. Vgl. nhd. Strudel.",
strudli,Strudli,"m. Pl. gl.'einer der schnell und ungenau arbeitet'.",
strupfa,strupfa,"(gschtrupft)'reissen'. Uberistrupfa 'schnell etwas überziehen'.",
struub,struub,"'«strub», rauh'. Dött iss neissa struub zua und har gganga 'dort ging es aber rauh zu und her'.",
strueuebi,Strüübi,"f. Pl. Strüübana'schlechtes Wetter'. Zu struub.",
struucha,Struucha,"f.'Schnupfen'. Auch Schnuderi.",
strueuezati,Strüüzati,"f. koll.'Heurest, der nach dem Abziehen der Heuburde übrig bleibt'.",
stual,Stual,"m. Pl. Stüal, Dim. Stuali, Stüali 'Stuhl'.",
stueatla,Stüatla,"f.'Webstuhl'. Mhd. stuodel.",
stuba,Stuba,"f. Pl. Stuba, Dim. Stubi'Stube, Wohnzimmer'. Vgl. auch Stubi.",
stubaboda,Stubaboda,"m.'«Stubenboden»; Fussboden in der Stube'.",
stubafaenschter,Stubafänschter,n.'«Stubenfenster»'.,
stubati,Stubati,"f. koll.,auch Stuberti 'Hausbesuch', speziell der 'Besuch eines Freiers bei seiner Erwählten'.",
stubati-aabat,Stubati-Aabat,"m.'Abend, an dem man zur Stubati zusammenkommt'.",
stubi,Stubi,"n.'Maiensässhütte (Hütta), der mit dem Stall zusammengebaute Senn- und Wohnraum in der Maiensässhütte'. Mhd. stube.",
stugg,Stugg,"n. Pl. gl., Dim. Stuggi, neuer Stüggli'Stück von etwas', besonders auch einer Wiese, 'Theaterstück'.",
stumpa,Stumpa,"m. Pl. Stümpa, Dim. Stumpi.'Zigarre','Baumstrunk','kleingewachsener Mensch; kleiner Bub',übertragen auch für 'kleine Reste anderer Sachen', z. B. Cherzastumpa '«Kerzenstumpen», Rest einer Kerze'. 
 Spruch beim Spenna: I bi an chleina Stumpa, und um und um gliich digg, drum schtaan i vor eu angi, und wünscha eu vil Glück.",
stupf,Stupf,"m. Pl. Stüpf, Dim. Stupfi'Antupfen mit dem Finger','Einkerbung auf der Beigla', einen Viertel Weideanteil bedeutend.",
stuepfa,stüpfa,"(gschtüpft)'jemanden mit dem Finger anstupfen'.",
stutz,Stutz,"m. Pl. Stütz'steiles Wegstück'.",
stuubableich,stuubableich,"Nebenform zu stuuchableich.",
stuubawiiss,stuubawiiss,"Nebenform zu stuuchawiiss.",
stuucha,Stuucha,"f. Pl. gl.'weisses, viereckiges Leinenstück, das Antlitz und Kopf ähnlich wie bei der Nonnentracht einhüllt'.",
stuuchableich,stuuchableich,"'sehr bleich im Gesicht'. Eigentlich 'bleich wie eine Stuucha'. Auch stuuchawiiss.",
stuuchawiiss,stuuchawiiss,"'sehr bleich im Gesicht, weiss wie eine Stuucha'. Siehe stuuchableich.",
stuuda,Stuuda,"f. Pl. gl.'Strauch (jeder Art)'.",
stuuderli,Stuuderli,"m.'Stossbutterfass', ein zylindrisches Butterfass mit Stössel. Auch Bättleranch-Chübl.",
stuuna,stuuna,"(gschtuunat)'«staunen»; scheinbar abwesend vor sich hin schauen'. Auch siniera.",
stueuepara,stüüpara,"(gschtüüparat)'mit einem Stüüper stützen'.",
stueueper,Stüüper,"m. Pl. gl.'Stütze, Strebe'.",
sudel,Sudel,"m.'Entwurf eines Schriftstückes oder eines Planes; Skizze; etwas schnell (auch unleserlich) Hingeschriebenes'.",
sudla,sudla,"(gsudlat)'einen Sudel machen', übertragen auch vom Wetter, wenn es regnet.",
sugg,sugg,"Lockruf für Schafe.",
sugger,Sugger,m.'Schaf'.,
sulla,sulla,"(sulla)'sollen'. I hätt sulla 'ich hätte sollen'; ma sött 'man sollte'; tua duu, wian ich tua sött '«tu du, wie ich tun sollte»; benimm dich so, wie ich es (eigentlich) sollte'.",
suemmara,sümmara,"(gsümmerat)'(Vieh) den Sommer über auf die Alp bringen'. Auch alpa.",
summer,Summer,"m.'Sommer'; da Summer 'im Sommer'.",
summer-aschtera,Summer-Aschtera,"f.'«Sommeraster»', Zierpflanze, wahrscheinlich Chrysanthemum carinatum.",
suemmerig,Sümmerig,"f.'«Sommerung»; der Sommeraufenthalt des Viehs auf der Alp'.",
sunna,Sunna,f.'Sonne'.,
sunnafaenschter,Sunnafänschter,"n.'sonnseitig gelegenes Fenster'.",
sunnahalb,sunnahalb,"'sonnenseitig'. Gegenteil von litzig.",
sunnasiita,Sunnasiita,"f.'«Sonnenseite»'. Vgl. auch Hischt.",
sunnatach,Sunnatach,"n.'«Sonnendach»; Sonnenschirm'.",
sunntig,Sunntig,"m. Pl. Sünntig'Sonntag'. A ma Sunntig '«an einem Sonntag»; jeweils sonntags'; dia Sünntig '«diese Sonntage»; an einem der vergangenen Sonntage'.",
sunntiggwandig,Sunntiggwandig,"f.'Sonntagskleidung'. Zu Gwandig.",
sunntighaeaess,Sunntighääss,"n.'Sonntagskleid'. Zu Hääss.",
sunntigschual,Sunntigschual,"f.'«Sonntagsschule», Schule, die zwei Jahre lang jeweils samstags von 13 bis 17 Uhr gehalten wurde'.",
supaeaert,supäärt,"'ausgesprochen schön'. An supäärti Chua 'eine ausgesprochen schöne Kuh'. Frz. superbe.",
suppahafa,Suppahafa,"m.'«Suppenhafen», Suppenschüssel'.",
suppna,suppna,"(gsuppnat)'eine Suppe kochen'.",
sura_1,Sura,"f. Pl. gl.'Schmeissfliege'. Zu sura.",
suri,Suri,"m.'mürrischer Mensch'.",
surimuri,Surimuri,"m.Verstärkt für Suri. Zu sura und mura.",
suerpfa,sürpfa,"(gsürpft)'schnell und damit vor allem unschön nähen'.",
sus,sus,"'einfach so','ansonsten'.",
suettarla,süttarla,"(gsüttarlat)'langsam sieden'.",
sueuebari,Süübari,"f.'Nachgeburt beim Vieh'. Zu suuber.",
suuber,suuber,'«sauber»'.,
suuffa,suuffa,"(psuffa)'saufen, derb trinken'. Ds psuffa Eelend das Wehklagen und Jammern im Rausch.",
suuga,suuga,(gsuga)'saugen'.,
suuma,suuma,"(gsuumd)'verhindern'. Das suumd de mich nüüd mee '«das säumt mich dann nicht mehr», das geht mich dann nichts mehr an'.",
suur,suur,'«sauer»'.,
suurhampfla,Suurhampfla,"f.'Sauerampfer (Rumex Acetosa und Rumex alpestris)'.",
sueueri,Süüri,"f.'Sumpfloch'. Zu suur.",
saggerdia,saggerdia,"Euphemismus von Sakrament.[saggerdía]Fluch",
taapa_1,Taapa,"f. Pl. Tääpa, Dim. Taapi 'Hand, Finger'.",
taeaepla,tääpla,"(tääplat)'tasten', vor allem aber auch 'grapschen'.","Dein Browser unterstützt die Sprachausgabe nicht."
taara,taara,"(taarat), Dim. täärla,'mit Wasser spielen, planschen'.",
tabeet,Tabeet,"n.[tabé:t]'Teppich, Decke'. Nur noch in der Redensart uf ds Tabeet bringa '«auf das Tabeet bringen»; vorbringen, zur Sprache bringen'. Rätoromanisch tapet.",
tachh,Tachh,"n. Pl. Techher, Dim. Techhli 'Dach'.",
tachha,tachha,"(tachhat)'das Dach decken'.",
taefl,Täfl,"n. koll.'Täfer'.",
taefla,täfla,"(täflat)'Täfl anschlagen'.",
tag,Tag,"m. Pl. gl.'Tag'. Z Tag lüüta '«zu Tage läuten»; den Tag einläuten', z aarma Taga cho '«zu armen Tagen kommen»; mittellos werden', dia Taga «dieser Tage»; letzthin, vor ein paar Tagen'.",
taga,taga,"(tagat)'«tagen»; Tag werden, hell werden'.",
taegl,Tägl,"m. Pl. gl., Dim. Täglti'Talglicht'. Vgl. auch Unschlig. Im Dim. 'Tongefäss (neuer aus Eisen) mit Talg oder und Docht als primitive, offene Lampe', teilweise mit Handhabe, teilweise zum Aufhängen.",
taglueueta,Taglüüta,"n.'«Tagläuten»; das Glockenzeichen zum Tagesbeginn'.",
taljenner,Taljenner,"m. Pl. gl.'Italiener'.",
talosch,Talosch,"m.'Reibscheibe des Maurers'. Frz. taloche.",
tangl,Tangl,"m.'Schneide der Sägassa'.",
taengla,tängla,(tänglat)'«dengeln»'.,
tanglgschir,Tanglgschir,"n.'Werkzeug, welches man zum Tängla braucht'.",
tanna,Tanna,"f. Pl. gl.'«Tanne»'. Ohne Unterscheidung der Art.",
tannazapfa,Tannazapfa,"f.'«Tannenzapfen»'. Vgl. auch Forabuschi und Aralabuschi.",
tannzapfasuuger,Tannzapfasuuger,"m.Spottname für die Bewohner des Oberbots. Zu suuga.",
tansa,Tansa,"f. Pl. gl., Dim. Tansi.'Bütte zum Schotte tragen'.im Dim. 'Mostkübelchen'. 
Zu mhd. dinsen 'tragen'.",
tanzati,Tanzati,"f. koll.'Geschwisterpaar mit 1 Mädchen und 1 Jungen'.",
tapp,Tapp,"m. Pl. Täpp, Dim. Tappi'einzelner kleiner Schritt','Abdruck vom Fuss oder Schuh'. 
Vgl. auch Tilitapp.",
tappa,tappa,"(tappat)'«tappen», vorsichtig gehen', besonders im Dunkeln.",
taerza,tärza,"(tärzt)'büssen, die Folgen in Kauf nehmen'. Zu mhd. teren 'schaden, Leid zufügen'?",
tasi,Tasi,"n. Pl. gl.'Hausschuh'. Vgl. auch Gummitasi und Entasi.","Dein Browser unterstützt die Sprachausgabe nicht."
tatsch,Tatsch,"m.'Mehlspeise, Mehlschmarren'. Auch Chratzati.",
taetscha,tätscha,"(tätscht)'knallen, ein explosionsartiges Geräusch erzeugen'.",
taetta,Tätta,"m.'Vater'. Nebenform von Ätti.",
tatza,Tatza,"f. Pl. gl., Dim. Tatzifrüher übliche Strafe in der Schule, bei der mit einem Haselstecken auf die ausgestreckte Handinnenseite geschlagen wurde.",
tatzla,tatzla,"(tatzlat)'barfuss gehen'. Zu nhd. Tatze.",
taub,taub,"'gefühllos (von Körperteilen)', auch 'erzürnt' im Sinne von sich taub geben.",
taeuf,täuf,'tief'.,
taeufi,Täufi,"f. Pl. Täufana 'Tiefe'.",
taeula,täula,"(täulat)'nass werden vom Nebel'. Dim. zu tauen.",
taeuli,Täuli,"n.'leichter Tau'. Dim. zu Tau m.",
techhlichappa,Techhlichappa,"f.'Schirmmütze'. Zu Tachh und Chappa.",
tedoor,Tedoor,"m.,männl. Vorname Theodor.",
teela,Teela,"f. Pl. gl.'Föhre (Pinus L.)'. Nicht mehr verwendet, dafür Fora.",
tegga,tegga,"(teggt)'ab-, zudecken'.",
teggi,Teggi,"f. Pl. Teggana 'Decke'.",
teggl,Teggl,"m. Pl. gl., Dim. Teggelti 'Deckel'.",
teifl,Teifl,"m. Pl. gl. Dim. Teifelti'Teufel'. As ischt dr Teifl 'es ist kompliziert, schwierig zu bewerkstelligen'; äär ischt dr Teifl 'er, jener ist boshaft, bösartig'; de würd dr Teifl wälsscha '«dann wird der Teufel welsch»'; wia der Teifl uf d Seel von einem Geizigen, der sehr auf Geld aus ist; an Ooschtara hed dr Teifl mee Kraft. .Beim Bau der neuen Kirche soll ein Maurer gemeint haben: Das Uuswendaga weer scho gganga, aber das Iwendaga, äns ischt der Teifl. Siehe auch Gugger",
teiflhaftig,teiflhaftig,"'«teufelhaftig», bösartig', 'wie der Teifl.'",
teigg,teigg,"'«teigig»; überreif, süssfaul', besonders von Birnen,'kraftlos, übermüdet' von Menschen.",
teissch,Teissch,m.'Kuhfladen'.,
teisscha,teisscha,"(teischat)'die Kuhfladen mit einer Mistgabel verteilen'.",
tempfig,tempfig,"'«dämpfig», tuberkulös'.",
tend,Tend,"n.'Tenne'. An Lärma wia as Tend volla Bättler 'einen Lärm (machen), wie eine Tenne voller Bettler'.",
tendstor,Tendstor,"n.'«Tennentor», breites Tor in die Tenne'. Käs Tendstor träffa 'keine Treffsicherheit besitzen'.",
terees,Terees,"f.,weibl. Vorname Theresia.",
tetti,Tetti,"n.,weibl. Vorname, Kurzform für Bernadette.",
tifig,tifig,"'geschickt, flink, listig'.",
tiga,tiga,"ds fleisch ischt tigas, sagt man vom Fleisch, wenn es ausgetrocknet und gut geräuchert ist.",
tiicha,tiicha,"(tiichat)'herumschleichen (um nicht gesehen zu werden)'. Auch tuussa.",
tili,Tili,"f.'«Diele», Schlafzimmer über der Stube', auch für die Vorderdiele. Vgl. Hindertili, Obertili und Vordertili.",
tiliboda,Tiliboda,"m.'«Dielenboden»; Decke eines Zimmers oder anderen Raumes'.",
tilibomm,Tilibomm,"m.'«Dielbaum»; durch die Stalldecke verlaufender Balken mit Holzzapfen, die zum Befestigen der Uufschwänzschnuar dienen'. Vereinzelt auch Tilbomm.",
tilitapp,Tilitapp,"m.der, der in der Familie an Silvester zuerst aufsteht.",
tisscha,tisscha,"(tisschat)'den Tisch decken', besonders in der Zusammensetzung uuftisscha oder aabtisscha.",
tisschtruegga,Tisschtrügga,"f.'Schublade für Essbesteck im Tischgestell'. Zu Trügga.",
tisschwinchl,Tisschwinchl,"m.'«Tischwinkel»; Ecke in der Stuba (zwischen den Fensterseiten), in der ein Kruzifix und religiöse Bilder hängen'. Auch Üserhärrgottswinchl.",
tobl,Tobl,"n. Pl. Töbler, Dim. Töblti'«Tobel», Schlucht'.",
toeff,Töff,"m. Pl. gl., Dim. Töffli'Motorrad', im Dim. 'Moped, Mofa'.",
toga,toga,"'gebeugt, gebückt', z. B. vom Alter. Zu ducken oder mhd. tougen?",
tola,Tola,"f. Pl. gl.'Vertiefung, Senke, Mulde'. Mhd. tole.",
toelpl,Tölpl,"m.'ungeschickter, dummer Mensch'. Mhd. dörpel 'bäuerischer Mensch'.",
tomimarcht,Tomimarcht,"m.früher besuchter Markt in Feldkirch.",
tonali,Tonali,"n.,weiblicher Vorname, Kurz-/Koseform von Antonia.",
tonaell,Tonäll,"n. Pl. gl.[tòn'äll]'Tunnel'.",
tonder,Tonder,m.'Donner'.,
tondera,tondera,(tondarat)'donnern'.,
tonderwaetter,Tonderwätter,"n.'«Donnerwetter»',heftiges Schimpfen, oft als Androhung de git s aber as Tonderwätter.",
toni,Toni,"m.,männl. Vorname, Kurz-/Koseform von Anton.",
toodesazeigig,Toodesazeigig,"f.'«Todesanzeigung», Todesanzeige'.",
toeoegg,Töögg,"m. Pl. Töögga 'unbeholfener, scheuer Mensch'.",
toeoera,Tööra,"m. Pl. gl.'Dorn', koll. für 'Dorngebüsch'.",
toeoerahag,Töörahag,"m.'«Dornhag»; Weissdorn (Crataegus Oxycantha L.)'.",
toeoersch,töörsch,"'taub, schwerhörig'. Mhd. toersch 'töricht'. Auch korloos.",
tootabomm,Tootabomm,"m.'«Totenbaum», Sarg'.",
tootazeichalueueta,Tootazeichalüüta,n.'Sterbeglocke'.,
toesla,tösla,"(töslat)'wehen, winden'. Wohl zu nhd. tosen.",
toetterla,tötterla,"(tötterlat)'dämmern, sich des Ernstes einer Lage bewusst werden'. Jetz tötterlat s ma 'jetzt dämmert es ihm', aber auch 'jetzt kriegt er Angst'.",
totz,Totz,"m.'grobes, kurzes Stück Holz'.",
totza,totza,"(totzat) Dim. tötzla 'fallen'.",
traeaega,trääga,(trääga)'tragen'.,
traeaegbraenta,Träägbränta,"f.'hölzernes Traggeschirr für Mahlzeiten'.",
traama,Traama,"m. Pl. Trääm'langer waagrechter Balken an der Stalldecke'. Mhd. trâm(e).",
traamaboda,Traamaboda,"m.'Boden mit Balkenunterlage'.",
trabant,Trabant,"m.'Person, die nicht gern gehorcht'. Ursprünglich 'Fusssoldat'.",
trachter,Trachter,"m. Pl. gl.'Trichter'.",
trafeia,trafeia,"(trafeid)'arbeiten', nur sehr vereinzelt. Frz. travailler.",
traeffi,Träffi,"f.'«Treffe», Treffsicherheit'. Zu nhd. treffen.",
trappa,Trappa,"f. Pl. gl.'primitive Behelfsstiege'. Zu Treppe. Auch Trappla.",
trappali,Trappali,"n. Pl. gl.'Fusseisen'. Vgl. auch Stätzga.",
trappla,Trappla,"f. Pl. gl.'einfache Leiter', auch Trappa,'mit Stufen versetzter Weg'.",
traesiina,Träsiina,"f. Pl. gl.'Fahrrad'.Nach dem Erfinder Karl v. Drais benannt.",
treeia,treeia,"(treed)'drehen'. Nhd. drehen.",
treessa,treessa,"(treessat)'stöhnen'. Auch piischta. Treessa wia an Chua 'stöhnen wie eine Kuh'.",
treessi,Treessi,"m. Pl. gl.'Raunzer; Mensch, der über alles klagt'. Zu treessa.",
treessig,treessig,"'andauernd jammernd'.",
trenga,trenga,(trengt)'«tränken»'.,
trengi,Trengi,"f.'«Tränke», Viehtränke'.",
treuga,treuga,"(troga)'«trügen», täuschen'.",
tribiliera,tribiliera,"(tribilierd)'drängen, hetzen bei der Arbeit'. Zu nhd. treiben.",
triela,triela,"(trield)'geifern', übertragen auch 'langsam vorangehen'. Zu mhd. triel 'Lippe'.",
trienza,Trienza,"f.'(vierzinkige) Mistgabel'. Lombardisch trientsa, lat. TRIDENTEM 'Dreizack'.",
triiber,Triiber,"m. Pl. gl.'ca. 25 kg schweres Schwein'. Zu nhd. treiben.",
tringa,tringa,(trunga)'«trinken»'.,
trintscha,trintscha,"(trintschat)'andauernd nörgeln'.",
trischta,Trischta,"f. Pl. gl.'«Triste», Heuschober', selten, meist Schöber.",
trisner,Trisner,"m., Trisneri f.'Bewohner(in) der Gemeinde Triesen'. Spottruf für die Triesner: Trisnerhaagga, Chüadräggtschaagga; die Triesner geben den Ruf mit Bäärgerhatschi, Chuadreggtatschi zurück.",
trochha,trochha,"'trocken'. A ma Pföönatag, wenn s köörig trochas gsi ischt, de ischt ma ga Lauba 'an einem Föhntag, wenn es so gehörig trocken war, ging man Laub sammeln'.",
trog,Trog,"m. Pl. Trög, Dim. Trogi '«Trog»'.",
troga,troga,"'verschlagen, unberechenbar', kann sowohl positiv als auch negativ gemeint sein. Zu trügen.",
trompiera,trompiera,"(trompierd)'betrügen'. Frz. tromper.",
troola,troola,"(troolat)'hinunterkollern, fallen'. Vgl. auch aahatroola, umtroola und vertroola.",
troeoela,trööla,"(trööld)etwas 'rollend, wälzend bewegen'.",
troeoes,Tröös,"koll.'Grünerle, Alpenerle (Alnus viridis)'.",
troeoeschta,trööschta,"(trööschtat)'Trost spenden'. Trööscht an Gott sagt man, wenn man von einem Verstorbenen spricht, Gebrauch wie selig (dr Johann, trööscht an Gott).",
tropfbrid,Tropfbrid,"n.'Brett als Unterlage für einen nassen Behälter'. Zu Brid.",
troesscher,Trösscher,"n.nur in der Redensart i ha ggässa wia an Trösscher 'ich habe sehr viel gegessen'.",
trotz,Trotz,"m.'«Trotz»'. Z trotz '«zu Trotz»; gerade nicht'. Siehe auch leid.",
trotza,trotza,"(trotzat)'«trotzen», trotzig sein'.",
trueahaft,trüahaft,"'dick'. Äni ischt neissa trüahaft 'jene ist wohl ziemlich dick'. Zu trüaja.",
trueaja,trüaja,"(trüad)'an Gewicht zunehmen', nur von Menschen. Mhd. trüejen.",
trueapa,Trüapa,"f.'Blutharnen, Hämoglobinurie', Darmkrankheit beim Vieh, besonders bei Kälbern.",
trubl,Trubl,"m. koll.'«Trubel»; Durcheinander'.",
truechhna,trüchhna,(trüchhnat)'trocknen'.,
truechhner,Trüchhner,"m.'«Trockner», Tuch, welches zum Abtrocknen verwendet wird'. Vgl. auch Gschirtrüchhner und Handtrüchhner.",
truegga,Trügga,"f. Pl. gl., Dim. Trüggi'hölzernes Behältnis'. Zu Truhe.",
trueia,Trüia,"f.'Bindevorrichtung am Heuseil','Viehtriebweg'. 
Rätoromanisch truoi.",
